Project,Lapse_time,DAVIS_AUROC,DAIVS_AUPRC,DAVIS_SEN,DAVIS_SPEC,BINDING_AUROC,BINDING_AUPRC,BINDING_SEN,BINDING_SPEC,BIOSNAP_AUROC,BIOSNAP_AUPRC,BIOSNAP_SEN,BIOSNAP_SPEC
Dataset-BIOSNAP_ProtT-545_ProtS-545_Lambda-fixed-1.0,7781.443845748901,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.865,0.8709,0.7509,0.8335
Dataset-BIOSNAP_ProtT-545_ProtS-545_Lambda-fixed-0.75,7819.470792531967,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9083,0.9127,0.8209,0.8427
Dataset-BIOSNAP_ProtT-545_ProtS-545_Lambda-fixed-0,24751.86188817024,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9152,0.9183,0.8736,0.7965
Dataset-BIOSNAP_ProtT-545_ProtS-545_Lambda-fixed-0.5,24993.540004730225,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9115,0.9067,0.8498,0.8416
Dataset-BIOSNAP_ProtT-545_ProtS-545_Lambda-fixed-0.25,25121.02185106277,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9189,0.9144,0.8509,0.8537
Dataset-BIOSNAP_ProtT-545_ProtS-545_Lambda-fixed-1.0,25184.60270309448,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.843,0.8599,0.7823,0.7411
Dataset-BIOSNAP_ProtT-545_ProtS-545_Lambda-fixed-0.5,24095.00023818016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.917,0.916,0.8253,0.8728
Dataset-BindingDB_ProtT-545_ProtS-545_Lambda-fixed-0,3947.7639498710632,-1.0,-1.0,-1.0,-1.0,0.9137,0.6371,0.8703,0.8159,-1.0,-1.0,-1.0,-1.0
Dataset-BindingDB_ProtT-545_ProtS-545_Lambda-fixed-1.0,3963.8665845394135,-1.0,-1.0,-1.0,-1.0,0.8992,0.6131,0.8724,0.7833,-1.0,-1.0,-1.0,-1.0
Dataset-BindingDB_ProtT-545_ProtS-545_Lambda-fixed-0.5,4645.322700977325,-1.0,-1.0,-1.0,-1.0,0.9114,0.6513,0.7942,0.8609,-1.0,-1.0,-1.0,-1.0
Dataset-BindingDB_ProtT-545_ProtS-545_Lambda-fixed-0,3946.533132791519,-1.0,-1.0,-1.0,-1.0,0.9093,0.6337,0.8756,0.7888,-1.0,-1.0,-1.0,-1.0
Dataset-BindingDB_ProtT-545_ProtS-545_Lambda-fixed-1.0,4037.553966999054,-1.0,-1.0,-1.0,-1.0,0.9002,0.614,0.8273,0.8169,-1.0,-1.0,-1.0,-1.0
Dataset-BindingDB_ProtT-545_ProtS-545_Lambda-fixed-0,8661.799689769745,-1.0,-1.0,-1.0,-1.0,0.9141,0.644,0.8929,0.7944,-1.0,-1.0,-1.0,-1.0
Dataset-BindingDB_ProtT-545_ProtS-545_Lambda-fixed-1.0,8917.15047287941,-1.0,-1.0,-1.0,-1.0,0.8992,0.6089,0.8367,0.8134,-1.0,-1.0,-1.0,-1.0
